lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked,token_id
zh,book,书,"A ""book"" is used to read stories. Answer: ""book"".","""书""用来阅读故事。答案：""书""。","""_""用来阅读故事。答案：""书""。",91386
zh,bag,包,"A ""bag"" is used to carry items. Answer: ""bag"".","""包""用来携带物品。答案：""包""。","""_""用来携带物品。答案：""包""。",68379
zh,mouth,口,"A ""mouth"" is used to eat food and speak. Answer: ""mouth"".","""口""用来吃食物和说话。答案：""口""。","""_""用来吃食物和说话。答案：""口""。",40526
zh,soil,土,"""A ""soil"" is used for planting trees and crops. Answer: ""soil"".""","""土""用于种植树木和作物。答案：""土""。","""_""用于种植树木和作物。答案：""土""。",74090
zh,mountain,山,"A ""mountain"" is a large natural elevation of the earth's surface. Answer: ""mountain"".","""山""是地球表面的大自然升高地。答案：""山""。","""_""是地球表面的大自然升高地。答案：""山""。",58911
zh,cloth,布,"A ""cloth"" is used to clean surfaces or cover bodies. Answer: ""cloth"".","""布""用来清洁表面或覆盖身体。答案：""布""。","""_""用来清洁表面或覆盖身体。答案：""布""。",52927
zh,heart,心,"A ""heart"" is an organ that pumps blood throughout the body. Answer: ""heart"".","""心""是一个泵血贯穿全身的器官。答案：""心""。","""_""是一个泵血贯穿全身的器官。答案：""心""。",64209
zh,hand,手,"A ""hand"" is used to grasp or hold objects. Answer: ""hand"".","""手""用来抓取或持有物体。答案：""手""。","""_""用来抓取或持有物体。答案：""手""。",46034
zh,day,日,"A ""day"" is a period of 24 hours, often understood as the time it takes for the Earth to complete one rotation. Answer: ""day"".","""日""是24小时的时期，通常理解为地球完成一次自转所需的时间。答案：""日""。","""_""是24小时的时期，通常理解为地球完成一次自转所需的时间。答案：""日""。",9080
zh,star,星,"A ""star"" is a celestial body that shines in the night sky. Answer: ""star"".","""星""是夜空中发光的天体。答案：""星""。","""_""是夜空中发光的天体。答案：""星""。",78519
zh,moon,月,"A ""moon"" is a natural satellite that orbits around a planet. Answer: ""moon"".","""月""是绕着行星运转的自然卫星。答案：""月""。","""_""是绕着行星运转的自然卫星。答案：""月""。",9953
zh,wood,木,"A ""wood"" is used to make furniture. Answer: ""wood"".","""木""用来制作家具。答案：""木""。","""_""用来制作家具。答案：""木""。",76505
zh,fruit,果,"'A ""fruit"" is a type of food that is often sweet and comes from a plant. Answer: ""fruit"".'","""果""是一种通常甜的并且来自植物的食物类型。答案：""果""。","""_""是一种通常甜的并且来自植物的食物类型。答案：""果""。",28873
zh,grid,格,"A ""grid"" is a network of lines that cross each other to form a series of squares or rectangles. Answer: ""grid"".","""格""是一个线条相互交叉形成一系列方形或长方形的网络。答案：""格""。","""_""是一个线条相互交叉形成一系列方形或长方形的网络。答案：""格""。",35083
zh,water,水,"""A ""water"" is essential for life and is used for drinking and cleaning. Answer: ""water"".""","""水""对生命至关重要，用于饮用和清洁。答案：""水""。","""_""对生命至关重要，用于饮用和清洁。答案：""水""。",53610
zh,law,法,"'A ""law"" is a system of rules that a society or government develops in order to deal with crime, business agreements, and social relationships. Answer: ""law"".'","""法""是一个社会或政府为了处理犯罪、商业协议和社会关系而发展的规则系统。答案：""法""。","""_""是一个社会或政府为了处理犯罪、商业协议和社会关系而发展的规则系统。答案：""法""。",25333
zh,sea,海,"A ""sea"" is a large body of saltwater that is smaller than an ocean. Answer: ""sea"".","""海""是比洋小的大片盐水。答案：""海""。","""_""是比洋小的大片盐水。答案：""海""。",56235
zh,source,源,"A ""source"" is used to provide information or data. Answer: ""source"".","""源""用来提供信息或数据。答案：""源""。","""_""用来提供信息或数据。答案：""源""。",39084
zh,fire,火,"A ""fire"" is used for cooking and providing warmth. Answer: ""fire"".","""火""用于烹饪和提供温暖。答案：""火""。","""_""用于烹饪和提供温暖。答案：""火""。",80699
zh,point,点,"A ""point"" is a specific location in space. Answer: ""point"".","""点""是空间中的一个特定位置。答案：""点""。","""_""是空间中的一个特定位置。答案：""点""。",28542
zh,version,版,"A ""version"" is used to denote different forms or stages in the development of something. Answer: ""version"".","""版""用来表示某物发展中的不同形态或阶段。答案：""版""。","""_""用来表示某物发展中的不同形态或阶段。答案：""版""。",41401
zh,ball,球,"A ""ball"" is used to play sports like soccer and basketball. Answer: ""ball"".","""球""用来进行足球和篮球等运动。答案：""球""。","""_""用来进行足球和篮球等运动。答案：""球""。",79059
zh,painting,画,"A ""painting"" is a piece of art that can be hung on a wall. Answer: ""painting"".","""画""是可以挂在墙上的艺术作品。答案：""画""。","""_""是可以挂在墙上的艺术作品。答案：""画""。",55723
zh,station,站,"A ""station"" is a place where trains or buses regularly stop so that passengers can get on or off. Answer: ""station"".","""站""是火车或公共汽车定期停靠以便乘客上下车的地方。答案：""站""。","""_""是火车或公共汽车定期停靠以便乘客上下车的地方。答案：""站""。",71890
zh,rice,米,"A ""rice"" is a grain that is commonly used in cooking and is a staple food in many countries. Answer: ""rice"".","""米""是常用于烹饪并在许多国家是主食的谷物。答案：""米""。","""_""是常用于烹饪并在许多国家是主食的谷物。答案：""米""。",73361
zh,line,线,"A ""line"" is a narrow continuous mark, as that made by a pen, pencil, or brush. Answer: ""line"".","""线""是由笔、铅笔或画笔等制成的狭长连续标记。答案：""线""。","""_""是由笔、铅笔或画笔等制成的狭长连续标记。答案：""线""。",44368
