lang,word_original,word_translation,blank_prompt_original,blank_prompt_translation,blank_prompt_translation_masked
zh,cloud,云,"A ""cloud"" is a visible mass of condensed water vapor floating in the atmosphere. Answer: ""cloud"".","""云""是大气中浮动的凝结水蒸气的可见质量。答案：""云""。","""_""是大气中浮动的凝结水蒸气的可见质量。答案：""云""。"
zh,spring,春,"A ""spring"" is a device that stores mechanical energy and can be compressed or stretched. Answer: ""spring"".","""春""是一种储存机械能量并且可以被压缩或拉伸的装置。答案：""春""。","""_""是一种储存机械能量并且可以被压缩或拉伸的装置。答案：""春""。"
zh,village,村,"A ""village"" is a small community or group of houses in a rural area. Answer: ""village"".","""村""是乡村地区一小群房屋的社区或群体。答案：""村""。","""_""是乡村地区一小群房屋的社区或群体。答案：""村""。"
zh,forest,林,"A ""forest"" is a large area covered chiefly with trees and undergrowth. Answer: ""forest"".","""林""是主要覆盖着树木和下层植被的大面积地区。答案：""林""。","""_""是主要覆盖着树木和下层植被的大面积地区。答案：""林""。"
zh,song,歌,"A ""song"" is a piece of music with words that is sung. Answer: ""song"".","""歌""是一首带有歌词的音乐作品。答案：""歌""。","""_""是一首带有歌词的音乐作品。答案：""歌""。"
zh,Han,汉,"""A ""Han"" is a character from the Star Wars franchise. Answer: ""Han"".""","""汉""是《星球大战》系列中的一个角色。答案：""汉""。","""_""是《星球大战》系列中的一个角色。答案：""汉""。"
zh,pond,池,"A ""pond"" is a small body of still water. Answer: ""pond"".","""池""是一小片静止的水体。答案：""池""。","""_""是一小片静止的水体。答案：""池""。"
zh,sand,沙,"""A ""sand"" is used to build castles at the beach. Answer: ""sand"".""","""沙""用来在海滩上建造城堡。答案：""沙""。","""_""用来在海滩上建造城堡。答案：""沙""。"
zh,river,河,"A ""river"" is a large, flowing body of water that usually empties into a sea or ocean. Answer: ""river"".","""河""是一大片流动的水体，通常流入海洋或海。答案：""河""。","""_""是一大片流动的水体，通常流入海洋或海。答案：""河""。"
zh,wave,波,"A ""wave"" is a disturbance that transfers energy through matter or space. Answer: ""wave"".","""波""是一种通过物质或空间传递能量的扰动。答案：""波""。","""_""是一种通过物质或空间传递能量的扰动。答案：""波""。"
zh,ocean,洋,"An ""ocean"" is a large body of salt water that covers most of the earth's surface. Answer: ""ocean"".","""洋""是覆盖地球大部分表面的大片盐水。答案：""洋""。","""_""是覆盖地球大部分表面的大片盐水。答案：""洋""。"
zh,cave,洞,"A ""cave"" is a natural underground space large enough for a human to enter. Answer: ""cave"".","""洞""是自然形成的、足够人进入的地下空间。答案：""洞""。","""_""是自然形成的、足够人进入的地下空间。答案：""洞""。"
zh,lake,湖,"A ""lake"" is a large body of water surrounded by land. Answer: ""lake"".","""湖""是被陆地包围的大片水体。答案：""湖""。","""_""是被陆地包围的大片水体。答案：""湖""。"
zh,red,红,"'A ""red"" is a color often associated with love and passion. Answer: ""red"".'","""红""是常与爱情和激情相关联的颜色。答案：""红""。","""_""是常与爱情和激情相关联的颜色。答案：""红""。"
zh,flower,花,"A ""flower"" is often given as a gift and can be found in gardens. Answer: ""flower"".","""花""常作为礼物赠送，并可在花园中找到。答案：""花""。","""_""常作为礼物赠送，并可在花园中找到。答案：""花""。"
zh,tea,茶,"A ""tea"" is a beverage often consumed for relaxation or warmth. Answer: ""tea"".","""茶""是一种常用于放松或取暖的饮料。答案：""茶""。","""_""是一种常用于放松或取暖的饮料。答案：""茶""。"
